id,gene_id,description,developmental_type
25505,ENSG00000273597,RP11-392A14.9,NA
25506,ENSG00000279489,RP11-392A14.8,NA
25507,ENSG00000233148,SYF2P2,NA
25508,ENSG00000279608,RP11-182N22.9,NA
25509,ENSG00000174038,C9orf131,Tdark
25510,ENSG00000241568,RN7SL338P,NA
25511,ENSG00000165280,VCP,Tchem
25512,ENSG00000221829,FANCG,Tbio
25513,ENSG00000165282,PIGO,Tbio
25514,ENSG00000234181,RP11-182N22.8,NA
25515,ENSG00000165283,STOML2,Tbio
25516,ENSG00000005238,FAM214B,Tdark
25517,ENSG00000215198,RP11-182N22.7,NA
25518,ENSG00000198722,UNC13B,Tbio
25519,ENSG00000279083,RP11-395N21.2,NA
25520,ENSG00000179766,ATP8B5P,NA
25521,ENSG00000198853,RUSC2,Tbio
25522,ENSG00000235619,RPL36AP33,NA
25523,ENSG00000215187,FAM166B,Tdark
25524,ENSG00000227852,RPS29P17,NA
25525,ENSG00000107140,TESK1,Tchem
25526,ENSG00000263892,MIR4667,NA
25527,ENSG00000137101,CD72,Tbio
25528,ENSG00000231393,RP11-331F9.3,NA
25529,ENSG00000227933,RP11-331F9.4,NA
25530,ENSG00000137078,SIT1,Tbio
25531,ENSG00000269900,RMRP,NA
25532,ENSG00000159884,CCDC107,Tdark
25533,ENSG00000137135,ARHGEF39,Tdark
25534,ENSG00000243136,RN7SL22P,NA
25535,ENSG00000107159,CA9,Tclin
25536,ENSG00000198467,TPM2,Tbio
25537,ENSG00000137076,TLN1,Tbio
25538,ENSG00000284195,MIR6852,NA
25539,ENSG00000107175,CREB3,Tbio
25540,ENSG00000273945,MIR6853,NA
25541,ENSG00000070610,GBA2,Tchem
25542,ENSG00000107185,RGP1,Tbio
25543,ENSG00000227388,RP11-112J3.16,NA
25544,ENSG00000159899,NPR2,Tbio
25545,ENSG00000137098,SPAG8,Tbio
25546,ENSG00000137133,HINT2,Tbio
25547,ENSG00000137103,TMEM8B,Tbio
25548,ENSG00000204930,FAM221B,Tdark
25549,ENSG00000281205,LINC00950,NA
25550,ENSG00000168828,OR13J1,Tdark
25551,ENSG00000233659,NDUFA5P4,NA
25552,ENSG00000196196,HRCT1,Tdark
25553,ENSG00000235387,SPAAR,Tbio
25554,ENSG00000225639,PGAM1P2,NA
25555,ENSG00000278889,OR2S2,Tdark
25556,ENSG00000213866,YBX1P10,NA
25557,ENSG00000179443,OR13C6P,Tdark
25558,ENSG00000243641,OR13C7,Tdark
25559,ENSG00000228307,OR2S1P,NA
25560,ENSG00000236110,OR2AM1P,NA
25561,ENSG00000122707,RECK,Tbio
25562,ENSG00000276730,Hammerhead_HH9,NA
25563,ENSG00000122694,GLIPR2,Tbio
25564,ENSG00000185972,CCIN,Tbio
25565,ENSG00000122705,CLTA,Tbio
25566,ENSG00000159921,GNE,Tbio
25567,ENSG00000222760,RNU4-53P,NA
25568,ENSG00000215283,HMGB3P24,NA
25569,ENSG00000137075,RNF38,Tbio
25570,ENSG00000165304,MELK,Tchem
25571,ENSG00000266255,MIR4475,NA
25572,ENSG00000196092,PAX5,Tbio
25573,ENSG00000258885,RP11-344B23.2,NA
25574,ENSG00000264922,MIR4540,NA
25575,ENSG00000265368,MIR4476,NA
25576,ENSG00000250850,RP11-297B17.3,NA
25577,ENSG00000125385,RP11-297B17.2,NA
25578,ENSG00000232920,LINC01400,NA
25579,ENSG00000260100,RP11-220I1.5,NA
25580,ENSG00000281649,EBLN3P,NA
25581,ENSG00000233242,RP11-220I1.2,NA
25582,ENSG00000147905,ZCCHC7,Tbio
25583,ENSG00000200502,Y_RNA,NA
25584,ENSG00000228292,RP11-220I1.4,NA
